Zmeny:
Hledani:
10 - 20: B=80.000000, D=2.000000, I=99.000000, J=11.000000, K=30.000000, L=100.000000, M=38.000000, P=40.000000, Q=70.000000, S=10.000000, T=151.000000
214 - 172: A=504.000000, B=546.000000, C=798.000000, D=42.000000, E=84.000000, F=378.000000, G=210.000000, H=279.000000, I=126.000000, J=84.000000, K=126.000000, L=546.000000, M=714.000000, N=210.000000, O=714.000000, P=630.000000, Q=84.000000, R=403.000000, S=420.000000, T=84.000000
1875 - 615: A=14792.000000, B=11828.000000, C=9979.000000, D=21844.000000, E=10572.000000, F=11572.000000, G=7746.000000, H=12430.000000, I=7043.000000, J=22139.000000, K=10677.000000, L=18619.000000, M=6764.000000, N=12952.000000, O=14686.000000, P=13313.000000, Q=15191.000000, R=11556.000000, S=9918.000000, T=13991.000000
1436 - 1669: A=2614.000000, B=3372.000000, C=997.000000, D=4427.000000, E=1312.000000, F=1966.000000, G=2302.000000, H=2658.000000, I=1392.000000, J=3961.000000, K=1533.000000, L=4194.000000, M=2563.000000, N=1021.000000, O=2991.000000, P=3311.000000, Q=3045.000000, R=2330.000000, S=930.000000, T=3728.000000
518 - 1310: A=9762.000000, B=5901.000000, C=8117.000000, D=14185.000000, E=8512.000000, F=8140.000000, G=4113.000000, H=6821.000000, I=5096.000000, J=15032.000000, K=7416.000000, L=12189.000000, M=2973.000000, N=11463.000000, O=10194.000000, P=7328.000000, Q=8873.000000, R=7370.000000, S=8446.000000, T=6141.000000
1829 - 328: A=15079.000000, B=15415.000000, C=15212.000000, D=25233.000000, E=11704.000000, F=14428.000000, G=9295.000000, H=13025.000000, I=7904.000000, J=24846.000000, K=11538.000000, L=21660.000000, M=11192.000000, N=14301.000000, O=19565.000000, P=17091.000000, Q=16499.000000, R=16019.000000, S=12788.000000, T=14827.000000
1723 - 5: A=18140.000000, B=17327.000000, C=19969.000000, D=24711.000000, E=13094.000000, F=16396.000000, G=10405.000000, H=14254.000000, I=9240.000000, J=24435.000000, K=11973.000000, L=25343.000000, M=15472.000000, N=14778.000000, O=23483.000000, P=19826.000000, Q=16961.000000, R=15640.000000, S=15685.000000, T=15258.000000
1103 - 899: A=2856.000000, B=798.000000, C=1428.000000, D=3672.000000, E=2926.000000, F=2448.000000, G=1212.000000, H=2072.000000, I=1337.000000, J=3876.000000, K=2754.000000, L=3672.000000, M=408.000000, N=3672.000000, O=2448.000000, P=1428.000000, Q=2985.000000, R=2040.000000, S=2152.000000, T=3060.000000
779 - 593: A=2253.000000, B=1466.000000, C=2942.000000, D=3348.000000, E=1041.000000, F=1116.000000, G=261.000000, H=732.000000, I=1212.000000, J=3534.000000, K=558.000000, L=1841.000000, M=636.000000, N=3114.000000, O=2547.000000, P=2486.000000, Q=1116.000000, R=1617.000000, S=1860.000000, T=186.000000
413 - 1602: A=13508.000000, B=11145.000000, C=12946.000000, D=20302.000000, E=10212.000000, F=12483.000000, G=7663.000000, H=11408.000000, I=7163.000000, J=20690.000000, K=9663.000000, L=18305.000000, M=7250.000000, N=13195.000000, O=15477.000000, P=11957.000000, Q=13508.000000, R=11999.000000, S=11938.000000, T=10034.000000
1446 - 394: A=11790.000000, B=9145.000000, C=12561.000000, D=17642.000000, E=9536.000000, F=11196.000000, G=6217.000000, H=9369.000000, I=6284.000000, J=18076.000000, K=8840.000000, L=15744.000000, M=5857.000000, N=12580.000000, O=13934.000000, P=10140.000000, Q=11521.000000, R=10686.000000, S=11318.000000, T=7641.000000
1917 - 1294: A=5351.000000, B=7236.000000, C=3639.000000, D=9553.000000, E=2512.000000, F=4462.000000, G=4466.000000, H=6652.000000, I=2334.000000, J=9238.000000, K=3824.000000, L=7794.000000, M=5318.000000, N=2184.000000, O=6333.000000, P=7552.000000, Q=7304.000000, R=5995.000000, S=2634.000000, T=7995.000000
1756 - 1126: A=7703.000000, B=8397.000000, C=4793.000000, D=11871.000000, E=4548.000000, F=6208.000000, G=5663.000000, H=8140.000000, I=3342.000000, J=11062.000000, K=6446.000000, L=10818.000000, M=4554.000000, N=3397.000000, O=7999.000000, P=6960.000000, Q=8405.000000, R=6468.000000, S=4650.000000, T=6969.000000
1598 - 1178: A=5445.000000, B=5403.000000, C=3955.000000, D=7933.000000, E=2568.000000, F=4636.000000, G=4200.000000, H=6360.000000, I=2520.000000, J=7388.000000, K=4140.000000, L=7560.000000, M=2712.000000, N=1987.000000, O=5022.000000, P=3910.000000, Q=5805.000000, R=4200.000000, S=4026.000000, T=4233.000000
1712 - 10: A=18019.000000, B=17122.000000, C=19936.000000, D=24502.000000, E=13006.000000, F=16330.000000, G=10372.000000, H=14188.000000, I=9220.000000, J=24248.000000, K=11862.000000, L=25135.000000, M=15351.000000, N=14745.000000, O=23318.000000, P=19619.000000, Q=16801.000000, R=15530.000000, S=15683.000000, T=15082.000000
1265 - 1086: A=2506.000000, B=2148.000000, C=1379.000000, D=3262.000000, E=2520.000000, F=2148.000000, G=1790.000000, H=2864.000000, I=1074.000000, J=3401.000000, K=3043.000000, L=3222.000000, M=358.000000, N=2358.000000, O=2148.000000, P=1253.000000, Q=2506.000000, R=1790.000000, S=2148.000000, T=1156.000000
1722 - 686: A=13697.000000, B=9846.000000, C=8481.000000, D=19145.000000, E=10080.000000, F=10672.000000, G=7216.000000, H=11228.000000, I=6734.000000, J=18844.000000, K=9924.000000, L=17606.000000, M=5060.000000, N=11215.000000, O=12786.000000, P=9902.000000, Q=13310.000000, R=8784.000000, S=9208.000000, T=11681.000000
1843 - 1906: D=60.000000, G=189.000000, H=546.000000, M=143.000000, N=189.000000, P=289.000000, Q=468.000000, T=221.000000
1867 - 1072: A=8459.000000, B=9900.000000, C=5360.000000, D=13618.000000, E=5358.000000, F=7126.000000, G=6536.000000, H=9670.000000, I=3666.000000, J=13456.000000, K=7598.000000, L=11790.000000, M=5762.000000, N=4702.000000, O=8997.000000, P=9106.000000, Q=10160.000000, R=8215.000000, S=5298.000000, T=9474.000000
1162 - 1326: A=2296.000000, B=1968.000000, C=1523.000000, D=3053.000000, E=1624.000000, F=1968.000000, G=1640.000000, H=2624.000000, I=984.000000, J=3068.000000, K=2788.000000, L=2952.000000, M=328.000000, N=1112.000000, O=1968.000000, P=1148.000000, Q=2296.000000, R=1640.000000, S=1968.000000, T=621.000000
1911 - 1708: A=320.000000, B=1575.000000, C=333.000000, D=1687.000000, E=320.000000, F=558.000000, G=609.000000, H=1416.000000, J=2184.000000, K=666.000000, L=342.000000, M=1628.000000, N=609.000000, O=1053.000000, P=2584.000000, Q=1803.000000, R=1855.000000, T=2463.000000
1565 - 1376: A=2310.000000, B=2532.000000, C=1455.000000, D=3591.000000, E=756.000000, F=2030.000000, G=1890.000000, H=2994.000000, I=1134.000000, J=3213.000000, K=945.000000, L=3402.000000, M=1953.000000, N=964.000000, O=2151.000000, P=1963.000000, Q=2648.000000, R=1890.000000, S=1650.000000, T=2998.000000
766 - 939: A=2422.000000, B=365.000000, C=1211.000000, D=3114.000000, E=2537.000000, F=1944.000000, G=173.000000, H=760.000000, I=1522.000000, J=3287.000000, K=519.000000, L=3096.000000, M=346.000000, N=3114.000000, O=2076.000000, P=1211.000000, Q=2182.000000, R=794.000000, S=1730.000000, T=2371.000000
585 - 957: A=4753.000000, B=1830.000000, C=4324.000000, D=6696.000000, E=3649.000000, F=3246.000000, G=487.000000, H=1572.000000, I=2777.000000, J=7068.000000, K=1214.000000, L=5149.000000, M=1128.000000, N=6358.000000, O=4819.000000, P=3852.000000, Q=3529.000000, R=2701.000000, S=3720.000000, T=2822.000000
91 - 1690: A=16797.000000, B=16354.000000, C=19258.000000, D=24008.000000, E=12310.000000, F=15607.000000, G=10163.000000, H=13420.000000, I=8830.000000, J=23082.000000, K=11421.000000, L=23929.000000, M=13722.000000, N=14679.000000, O=22251.000000, P=18283.000000, Q=16144.000000, R=15310.000000, S=15158.000000, T=14140.000000
129 - 299: A=1675.000000, B=2210.000000, C=3230.000000, D=282.000000, E=650.000000, F=1530.000000, G=921.000000, H=914.000000, I=535.000000, J=340.000000, K=510.000000, L=2180.000000, M=2890.000000, N=650.000000, O=2890.000000, P=2550.000000, Q=676.000000, R=949.000000, S=1700.000000, T=1094.000000
913 - 685: A=3192.000000, B=906.000000, C=2316.000000, D=4104.000000, E=2677.000000, F=2118.000000, G=228.000000, H=928.000000, I=2043.000000, J=4332.000000, K=684.000000, L=3057.000000, M=456.000000, N=4104.000000, O=2736.000000, P=2044.000000, Q=2226.000000, R=696.000000, S=2280.000000, T=2062.000000
358 - 670: A=962.000000, B=3692.000000, C=5598.000000, D=4029.000000, E=1232.000000, F=2916.000000, G=1562.000000, H=1001.000000, I=936.000000, J=3692.000000, K=936.000000, L=3366.000000, M=4413.000000, N=2327.000000, O=5234.000000, P=4680.000000, Q=1872.000000, R=5008.000000, S=3120.000000, T=900.000000
1138 - 531: A=7341.000000, B=3668.000000, C=6509.000000, D=10926.000000, E=6540.000000, F=5894.000000, G=2315.000000, H=4030.000000, I=4025.000000, J=11533.000000, K=4453.000000, L=8989.000000, M=2408.000000, N=9886.000000, O=7909.000000, P=5929.000000, Q=6387.000000, R=5429.000000, S=6252.000000, T=5459.000000
936 - 770: A=2324.000000, B=334.000000, C=1162.000000, D=2988.000000, E=2438.000000, F=1884.000000, G=166.000000, H=726.000000, I=1462.000000, J=3154.000000, K=498.000000, L=2988.000000, M=332.000000, N=2988.000000, O=1992.000000, P=1162.000000, Q=2107.000000, R=756.000000, S=1660.000000, T=2322.000000
563 - 906: A=4061.000000, B=2041.000000, C=4341.000000, D=6174.000000, E=3066.000000, F=2766.000000, G=568.000000, H=1332.000000, I=2443.000000, J=6517.000000, K=1029.000000, L=4517.000000, M=1400.000000, N=5550.000000, O=4581.000000, P=3825.000000, Q=2839.000000, R=2565.000000, S=3430.000000, T=2079.000000
747 - 329: A=2069.000000, B=4618.000000, C=7458.000000, D=5879.000000, E=1656.000000, F=3639.000000, G=1813.000000, H=1396.000000, I=1716.000000, J=5213.000000, K=1254.000000, L=4367.000000, M=5060.000000, N=3858.000000, O=6651.000000, P=6222.000000, Q=2508.000000, R=5629.000000, S=4180.000000, T=1412.000000
1564 - 54: A=15941.000000, B=14550.000000, C=19171.000000, D=21651.000000, E=11638.000000, F=15100.000000, G=9195.000000, H=12886.000000, I=8307.000000, J=21347.000000, K=10450.000000, L=22031.000000, M=13039.000000, N=14301.000000, O=20834.000000, P=16696.000000, Q=14925.000000, R=14050.000000, S=15573.000000, T=12198.000000
1069 - 1300: A=3234.000000, B=2772.000000, C=1790.000000, D=4233.000000, E=2915.000000, F=2772.000000, G=2310.000000, H=3696.000000, I=1386.000000, J=4389.000000, K=3927.000000, L=4158.000000, M=462.000000, N=2734.000000, O=2772.000000, P=1617.000000, Q=3234.000000, R=2310.000000, S=2772.000000, T=1542.000000
516 - 799: A=2610.000000, B=2545.000000, C=4391.000000, D=4912.000000, E=1649.000000, F=2036.000000, G=743.000000, H=1043.000000, I=1623.000000, J=5377.000000, K=849.000000, L=3007.000000, M=1985.000000, N=3859.000000, O=4096.000000, P=3781.000000, Q=1698.000000, R=2966.000000, S=2830.000000, T=521.000000
1767 - 1159: A=7241.000000, B=8166.000000, C=4595.000000, D=11486.000000, E=4053.000000, F=5878.000000, G=5366.000000, H=7678.000000, I=3144.000000, J=10644.000000, K=5984.000000, L=10224.000000, M=4609.000000, N=2836.000000, O=7757.000000, P=6916.000000, Q=8042.000000, R=6325.000000, S=4254.000000, T=7019.000000
1213 - 313: A=8609.000000, B=7402.000000, C=11146.000000, D=14523.000000, E=8521.000000, F=9129.000000, G=4373.000000, H=5884.000000, I=5129.000000, J=14099.000000, K=6382.000000, L=12603.000000, M=6264.000000, N=12294.000000, O=12515.000000, P=9724.000000, Q=8745.000000, R=9409.000000, S=9332.000000, T=7195.000000
723 - 1273: A=7700.000000, B=3464.000000, C=4332.000000, D=9948.000000, E=7544.000000, F=6210.000000, G=3088.000000, H=5496.000000, I=3941.000000, J=10450.000000, K=6172.000000, L=9108.000000, M=1100.000000, N=8908.000000, O=6600.000000, P=3994.000000, Q=7125.000000, R=4220.000000, S=5952.000000, T=5807.000000
1483 - 153: A=13658.000000, B=12740.000000, C=17325.000000, D=20013.000000, E=10522.000000, F=13735.000000, G=7958.000000, H=11016.000000, I=7229.000000, J=19187.000000, K=9748.000000, L=19543.000000, M=10361.000000, N=14067.000000, O=18475.000000, P=14014.000000, Q=13237.000000, R=13240.000000, S=14214.000000, T=10704.000000
669 - 761: A=1288.000000, B=656.000000, C=1524.000000, D=1656.000000, E=467.000000, F=552.000000, G=92.000000, H=368.000000, I=822.000000, J=1748.000000, K=276.000000, L=637.000000, M=184.000000, N=1656.000000, O=1104.000000, P=1220.000000, Q=552.000000, R=289.000000, S=920.000000, T=92.000000
1978 - 532: A=14875.000000, B=12763.000000, C=11390.000000, D=23338.000000, E=10904.000000, F=12214.000000, G=8341.000000, H=13799.000000, I=7292.000000, J=23716.000000, K=10926.000000, L=19583.000000, M=8021.000000, N=13680.000000, O=16097.000000, P=14558.000000, Q=15869.000000, R=12967.000000, S=10748.000000, T=14074.000000
893 - 935: A=588.000000, B=42.000000, C=294.000000, D=756.000000, E=580.000000, F=504.000000, G=42.000000, H=228.000000, I=347.000000, J=798.000000, K=126.000000, L=756.000000, M=84.000000, N=756.000000, O=504.000000, P=294.000000, Q=714.000000, R=420.000000, S=420.000000, T=630.000000
929 - 313: A=4633.000000, B=5314.000000, C=9136.000000, D=9411.000000, E=4357.000000, F=5721.000000, G=2091.000000, H=2220.000000, I=3377.000000, J=8703.000000, K=1848.000000, L=7491.000000, M=5696.000000, N=7214.000000, O=9107.000000, P=7736.000000, Q=4730.000000, R=6569.000000, S=6160.000000, T=3892.000000
739 - 1954: A=13121.000000, B=10840.000000, C=7871.000000, D=19612.000000, E=10076.000000, F=10828.000000, G=7754.000000, H=12864.000000, I=6257.000000, J=19783.000000, K=10305.000000, L=17280.000000, M=6428.000000, N=10957.000000, O=12993.000000, P=11453.000000, Q=14627.000000, R=10393.000000, S=8678.000000, T=13867.000000
1698 - 674: A=13601.000000, B=9572.000000, C=8613.000000, D=18905.000000, E=9936.000000, F=10600.000000, G=7156.000000, H=11132.000000, I=6842.000000, J=18664.000000, K=9744.000000, L=17330.000000, M=4820.000000, N=11359.000000, O=12570.000000, P=9674.000000, Q=13094.000000, R=8598.000000, S=9328.000000, T=11309.000000
1299 - 1118: A=2534.000000, B=2172.000000, C=1439.000000, D=3332.000000, E=2176.000000, F=2172.000000, G=1810.000000, H=2896.000000, I=1086.000000, J=3439.000000, K=3077.000000, L=3258.000000, M=362.000000, N=1850.000000, O=2172.000000, P=1267.000000, Q=2534.000000, R=1810.000000, S=2172.000000, T=804.000000
932 - 1910: A=10419.000000, B=10293.000000, C=6340.000000, D=16138.000000, E=7368.000000, F=8806.000000, G=7534.000000, H=11510.000000, I=4548.000000, J=16116.000000, K=9726.000000, L=14310.000000, M=6042.000000, N=7351.000000, O=10677.000000, P=10086.000000, Q=12402.000000, R=9615.000000, S=6748.000000, T=11574.000000
212 - 889: A=4724.000000, B=6587.000000, C=10775.000000, D=9004.000000, E=4131.000000, F=6150.000000, G=2641.000000, H=2449.000000, I=3345.000000, J=8145.000000, K=2031.000000, L=8084.000000, M=7333.000000, N=6999.000000, O=10344.000000, P=8971.000000, Q=4644.000000, R=6897.000000, S=6770.000000, T=4430.000000
1362 - 1507: A=1868.000000, B=1830.000000, C=1431.000000, D=2755.000000, E=580.000000, F=1618.000000, G=1450.000000, H=2320.000000, I=870.000000, J=2465.000000, K=725.000000, L=2610.000000, M=1343.000000, N=818.000000, O=1704.000000, P=1075.000000, Q=2030.000000, R=1450.000000, S=1818.000000, T=2112.000000
1044 - 509: A=6047.000000, B=2881.000000, C=6225.000000, D=9357.000000, E=5218.000000, F=5074.000000, G=1507.000000, H=2592.000000, I=3527.000000, J=10165.000000, K=2921.000000, L=7473.000000, M=2594.000000, N=8304.000000, O=7155.000000, P=5601.000000, Q=5203.000000, R=4863.000000, S=5350.000000, T=4203.000000
293 - 1547: A=13023.000000, B=11880.000000, C=14985.000000, D=21001.000000, E=10344.000000, F=13115.000000, G=7833.000000, H=11288.000000, I=7193.000000, J=19995.000000, K=9648.000000, L=18875.000000, M=8685.000000, N=13630.000000, O=16692.000000, P=12822.000000, Q=13541.000000, R=13009.000000, S=13138.000000, T=10772.000000
958 - 1640: A=8987.000000, B=7672.000000, C=5621.000000, D=12691.000000, E=6166.000000, F=7528.000000, G=6523.000000, H=9542.000000, I=4092.000000, J=12282.000000, K=8258.000000, L=12276.000000, M=3614.000000, N=6073.000000, O=8292.000000, P=6164.000000, Q=9389.000000, R=6820.000000, S=6488.000000, T=7633.000000
895 - 364: A=4106.000000, B=4617.000000, C=7929.000000, D=7983.000000, E=3681.000000, F=4854.000000, G=1751.000000, H=1883.000000, I=2943.000000, J=7955.000000, K=1593.000000, L=6216.000000, M=4761.000000, N=6347.000000, O=7832.000000, P=6733.000000, Q=3846.000000, R=5566.000000, S=5310.000000, T=2617.000000
110 - 1098: A=8954.000000, B=8573.000000, C=14176.000000, D=12868.000000, E=7654.000000, F=9440.000000, G=4323.000000, H=5114.000000, I=5168.000000, J=12401.000000, K=5036.000000, L=13083.000000, M=9485.000000, N=10976.000000, O=14586.000000, P=11964.000000, Q=7933.000000, R=9390.000000, S=9982.000000, T=7769.000000
1978 - 1573: A=1805.000000, B=3600.000000, C=762.000000, D=4252.000000, E=1396.000000, F=1368.000000, G=1682.000000, H=2922.000000, I=660.000000, J=4479.000000, K=1865.000000, L=2772.000000, M=3113.000000, N=1167.000000, O=3078.000000, P=4879.000000, Q=3423.000000, R=3205.000000, T=4623.000000
660 - 1583: A=12532.000000, B=7973.000000, C=8502.000000, D=16972.000000, E=9072.000000, F=9994.000000, G=6251.000000, H=10498.000000, I=6308.000000, J=16975.000000, K=8751.000000, L=15442.000000, M=3583.000000, N=11266.000000, O=11013.000000, P=7929.000000, Q=11798.000000, R=7686.000000, S=9468.000000, T=9483.000000
1025 - 166: A=7180.000000, B=7321.000000, C=12601.000000, D=11498.000000, E=6129.000000, F=8196.000000, G=3313.000000, H=3610.000000, I=4442.000000, J=10821.000000, K=3627.000000, L=11130.000000, M=8387.000000, N=9662.000000, O=12758.000000, P=10613.000000, Q=6799.000000, R=8660.000000, S=8590.000000, T=6562.000000
1592 - 1791: A=1596.000000, B=2995.000000, C=597.000000, D=3571.000000, E=1248.000000, F=1194.000000, G=1108.000000, H=1194.000000, I=546.000000, J=3453.000000, K=1710.000000, L=2430.000000, M=2189.000000, N=597.000000, O=2793.000000, P=3383.000000, Q=2259.000000, R=2403.000000, T=3214.000000
956 - 343: A=4981.000000, B=4951.000000, C=8755.000000, D=9417.000000, E=4588.000000, F=5775.000000, G=1938.000000, H=2292.000000, I=3497.000000, J=9156.000000, K=1923.000000, L=7587.000000, M=5240.000000, N=7550.000000, O=8921.000000, P=7475.000000, Q=4967.000000, R=6449.000000, S=6130.000000, T=3847.000000
621 - 482: A=152.000000, B=1639.000000, C=2409.000000, D=1878.000000, E=556.000000, F=1378.000000, G=769.000000, H=433.000000, I=417.000000, J=2385.000000, K=417.000000, L=1442.000000, M=2167.000000, N=825.000000, O=2363.000000, P=2085.000000, Q=834.000000, R=2363.000000, S=1390.000000, T=139.000000
322 - 1067: A=6556.000000, B=5533.000000, C=9931.000000, D=11751.000000, E=6295.000000, F=7296.000000, G=2859.000000, H=3521.000000, I=4226.000000, J=11307.000000, K=3873.000000, L=9858.000000, M=5819.000000, N=9653.000000, O=10610.000000, P=8567.000000, Q=6647.000000, R=7832.000000, S=7490.000000, T=5827.000000
312 - 823: A=3150.000000, B=5221.000000, C=8413.000000, D=7519.000000, E=2809.000000, F=4458.000000, G=1991.000000, H=1751.000000, I=2451.000000, J=6691.000000, K=1533.000000, L=5596.000000, M=5501.000000, N=5311.000000, O=7852.000000, P=7009.000000, Q=3066.000000, R=6002.000000, S=5110.000000, T=2317.000000
602 - 182: A=1300.000000, B=5368.000000, C=7786.000000, D=3868.000000, E=1536.000000, F=4092.000000, G=2474.000000, H=1505.000000, I=1260.000000, J=2752.000000, K=1260.000000, L=4770.000000, M=7077.000000, N=2100.000000, O=7140.000000, P=6300.000000, Q=2388.000000, R=5464.000000, S=4200.000000, T=2705.000000
1667 - 982: A=8948.000000, B=8053.000000, C=5534.000000, D=12772.000000, E=6060.000000, F=7402.000000, G=6755.000000, H=9560.000000, I=4106.000000, J=12285.000000, K=8093.000000, L=12330.000000, M=3863.000000, N=5722.000000, O=8409.000000, P=6455.000000, Q=9377.000000, R=6850.000000, S=6248.000000, T=7705.000000
1731 - 748: A=12928.000000, B=9547.000000, C=7454.000000, D=18200.000000, E=9904.000000, F=10354.000000, G=7181.000000, H=11034.000000, I=6176.000000, J=17819.000000, K=9819.000000, L=17280.000000, M=5035.000000, N=10126.000000, O=12179.000000, P=9181.000000, Q=13046.000000, R=8750.000000, S=8588.000000, T=11763.000000
1245 - 181: A=10080.000000, B=9502.000000, C=13942.000000, D=15463.000000, E=9399.000000, F=10701.000000, G=5438.000000, H=7040.000000, I=5717.000000, J=14971.000000, K=7322.000000, L=14895.000000, M=8572.000000, N=13018.000000, O=15143.000000, P=11928.000000, Q=9849.000000, R=10769.000000, S=11036.000000, T=8523.000000
1653 - 460: A=14022.000000, B=11299.000000, C=12206.000000, D=20992.000000, E=10432.000000, F=12334.000000, G=7891.000000, H=11573.000000, I=7328.000000, J=21391.000000, K=9981.000000, L=18827.000000, M=7012.000000, N=13113.000000, O=15443.000000, P=12119.000000, Q=13838.000000, R=11786.000000, S=11468.000000, T=10803.000000
1381 - 1896: A=4133.000000, B=6192.000000, C=2162.000000, D=7900.000000, E=2164.000000, F=3418.000000, G=3533.000000, H=5008.000000, I=1812.000000, J=7743.000000, K=2825.000000, L=6228.000000, M=5144.000000, N=1947.000000, O=5289.000000, P=6943.000000, Q=6086.000000, R=5125.000000, S=1590.000000, T=7695.000000
727 - 1182: A=6370.000000, B=2344.000000, C=3485.000000, D=8190.000000, E=6416.000000, F=5094.000000, G=2174.000000, H=4024.000000, I=3359.000000, J=8645.000000, K=4613.000000, L=7470.000000, M=910.000000, N=8190.000000, O=5460.000000, P=3297.000000, Q=5827.000000, R=3302.000000, S=4820.000000, T=5439.000000
327 - 509: A=182.000000, B=2366.000000, C=3450.000000, D=1900.000000, E=712.000000, F=1901.000000, G=1092.000000, H=546.000000, I=546.000000, J=695.000000, K=546.000000, L=1906.000000, M=3094.000000, N=910.000000, O=3094.000000, P=2730.000000, Q=1092.000000, R=2674.000000, S=1820.000000, T=1204.000000
1875 - 825: A=11917.000000, B=10400.000000, C=7089.000000, D=18064.000000, E=8929.000000, F=10090.000000, G=7536.000000, H=11590.000000, I=5483.000000, J=18149.000000, K=10047.000000, L=16236.000000, M=6256.000000, N=9172.000000, O=11961.000000, P=10835.000000, Q=13931.000000, R=10221.000000, S=7818.000000, T=13179.000000
1733 - 119: A=16878.000000, B=16932.000000, C=18925.000000, D=24797.000000, E=12430.000000, F=15837.000000, G=10152.000000, H=13510.000000, I=8606.000000, J=23505.000000, K=11724.000000, L=24297.000000, M=13689.000000, N=14808.000000, O=22444.000000, P=18594.000000, Q=16460.000000, R=15747.000000, S=14878.000000, T=14772.000000
1878 - 184: A=16081.000000, B=17287.000000, C=17948.000000, D=25944.000000, E=12156.000000, F=15724.000000, G=10262.000000, H=13990.000000, I=8336.000000, J=25134.000000, K=11970.000000, L=23532.000000, M=13937.000000, N=15168.000000, O=22013.000000, P=19778.000000, Q=17680.000000, R=17215.000000, S=14228.000000, T=16705.000000
1834 - 345: A=15062.000000, B=15194.000000, C=14889.000000, D=24986.000000, E=11636.000000, F=14275.000000, G=9208.000000, H=13004.000000, I=7853.000000, J=24812.000000, K=11487.000000, L=21439.000000, M=10958.000000, N=14231.000000, O=19276.000000, P=16921.000000, Q=16442.000000, R=15798.000000, S=12618.000000, T=14657.000000
444 - 301: A=143.000000, B=1859.000000, C=2717.000000, D=1903.000000, E=556.000000, F=1225.000000, G=858.000000, H=429.000000, I=429.000000, J=310.000000, K=429.000000, L=1724.000000, M=2431.000000, N=715.000000, O=2431.000000, P=2145.000000, Q=858.000000, R=1907.000000, S=1430.000000, T=1529.000000
1435 - 405: A=11625.000000, B=8870.000000, C=12297.000000, D=17257.000000, E=9464.000000, F=10965.000000, G=6041.000000, H=9160.000000, I=6185.000000, J=17867.000000, K=8752.000000, L=15403.000000, M=5549.000000, N=12404.000000, O=13615.000000, P=9898.000000, Q=11301.000000, R=10433.000000, S=11076.000000, T=7370.000000
1196 - 1303: A=1498.000000, B=1284.000000, C=925.000000, D=2004.000000, E=1022.000000, F=1284.000000, G=1070.000000, H=1712.000000, I=642.000000, J=2031.000000, K=1819.000000, L=1926.000000, M=214.000000, N=454.000000, O=1284.000000, P=749.000000, Q=1498.000000, R=1070.000000, S=1284.000000, T=416.000000
319 - 1221: A=8715.000000, B=7420.000000, C=11104.000000, D=14571.000000, E=8617.000000, F=9171.000000, G=4417.000000, H=5994.000000, I=5159.000000, J=14239.000000, K=6500.000000, L=12669.000000, M=6178.000000, N=12280.000000, O=12509.000000, P=9690.000000, Q=8821.000000, R=9411.000000, S=9368.000000, T=7137.000000
735 - 272: A=1958.000000, B=5275.000000, C=8337.000000, D=6168.000000, E=1836.000000, F=4080.000000, G=2143.000000, H=1519.000000, I=1779.000000, J=5099.000000, K=1389.000000, L=5108.000000, M=6005.000000, N=3927.000000, O=7476.000000, P=6945.000000, Q=2778.000000, R=6346.000000, S=4630.000000, T=2255.000000
225 - 1482: A=12783.000000, B=11789.000000, C=15952.000000, D=19922.000000, E=10314.000000, F=13077.000000, G=7588.000000, H=10508.000000, I=7007.000000, J=19026.000000, K=9527.000000, L=18589.000000, M=9126.000000, N=13785.000000, O=17239.000000, P=12927.000000, Q=13039.000000, R=12827.000000, S=13476.000000, T=10544.000000
1815 - 490: A=14917.000000, B=13309.000000, C=12122.000000, D=23374.000000, E=11072.000000, F=12802.000000, G=8281.000000, H=12455.000000, I=7418.000000, J=24139.000000, K=11052.000000, L=19919.000000, M=8284.000000, N=13449.000000, O=16811.000000, P=14423.000000, Q=15401.000000, R=13477.000000, S=11168.000000, T=13419.000000
1715 - 1699: A=176.000000, B=240.000000, C=48.000000, D=304.000000, E=128.000000, F=96.000000, G=48.000000, H=96.000000, J=272.000000, K=144.000000, L=288.000000, M=176.000000, N=48.000000, O=240.000000, P=272.000000, Q=192.000000, R=160.000000, T=256.000000
734 - 379: A=1837.000000, B=3877.000000, C=6287.000000, D=4845.000000, E=1404.000000, F=3111.000000, G=1500.000000, H=1194.000000, I=1449.000000, J=4866.000000, K=1065.000000, L=3717.000000, M=4184.000000, N=3374.000000, O=5645.000000, P=5325.000000, Q=2130.000000, R=4953.000000, S=3550.000000, T=649.000000
324 - 1873: A=15083.000000, B=15467.000000, C=15288.000000, D=25427.000000, E=11720.000000, F=14464.000000, G=9451.000000, H=13301.000000, I=7916.000000, J=24854.000000, K=11550.000000, L=21712.000000, M=11557.000000, N=14453.000000, O=19633.000000, P=17678.000000, Q=16919.000000, R=16071.000000, S=12828.000000, T=15346.000000
540 - 630: A=220.000000, B=966.000000, C=1530.000000, D=1620.000000, E=360.000000, F=620.000000, G=430.000000, H=295.000000, I=270.000000, J=1710.000000, K=270.000000, L=1095.000000, M=1239.000000, N=697.000000, O=1530.000000, P=1350.000000, Q=540.000000, R=1530.000000, S=900.000000, T=90.000000
