[105089-108316: A=218.14],
[114618-118762: A=145.91],
[108370-114966: A=93.54],
[106180-106470: A=152.95],
[156343-159607: A=98.54],
[190363-212263: A=9.40],
[148190-189152: A=162.53],
[125118-144917: A=2.57],
[153111-183816: A=13.92],
[135739-169085: A=178.03],
[121228-130246: A=163.58],
[124377-138431: A=207.14],
[129587-158611: A=186.39],
[101101-101666: A=236.86],
[144541-159527: A=246.64],
[164585-228253: A=189.74],
[102247-102971: A=131.35],
[187536-258310: A=90.45],
[175355-213772: A=135.05],
[136613-155217: A=124.18],
[133607-148169: A=160.84],
[122947-129518: A=141.09],
[120581-128197: A=178.13],
[188664-240712: A=137.33],
[144366-171729: A=241.23],
[193233-277057: A=189.49],
[119715-122493: A=187.36],
[155013-196108: A=140.90],
[147306-173510: A=46.80],
[111825-120968: A=32.07],
[192843-215265: A=79.58],
[158484-171791: A=121.39],
[147267-180013: A=75.50],
[164077-227457: A=186.89],
[123387-124844: A=150.52],
[158900-206056: A=217.42],
[124518-128903: A=150.62],
[159349-175434: A=54.24],
[156909-160360: A=29.23],
[130107-131260: A=23.06],
[142163-172739: A=12.86],
[165460-226889: A=172.33],
[146537-187227: A=193.03],
[141687-182658: A=17.20],
[130084-140905: A=150.48],
[106665-109097: A=89.50],
[191350-213143: A=165.70],
[105719-108308: A=101.93],
[150748-151876: A=53.65],
[116744-117952: A=204.45],
[188129-208031: A=163.60],
[161469-168861: A=193.50],
[125616-150409: A=83.93],
[109238-114593: A=11.65],
[102062-102422: A=111.95],
[183139-195992: A=162.46],
[109431-112911: A=240.01],
[186782-260472: A=126.00],
[194931-209017: A=237.70],
[137935-173553: A=66.66],
[112983-119765: A=204.56],
[159441-203516: A=10.55],
[167789-173322: A=111.76],
[128361-150706: A=47.38],
[110692-118751: A=32.88],
[190492-217148: A=194.67],
[135403-163509: A=222.30],
[123868-142598: A=69.58],
[171491-209679: A=213.62],
[187845-255956: A=231.29],
[135304-158292: A=28.03],
[153029-187563: A=95.54],
[194654-212226: A=244.56],
[105065-107826: A=188.17],
[111875-120271: A=102.20],
[152005-168425: A=144.67],
[152967-168691: A=65.41],
[193168-263500: A=230.10],
[132473-147468: A=128.99],
[195680-246772: A=155.72],
[161240-206643: A=109.34],
[103427-103994: A=122.54],
[192752-247318: A=133.58],
[105707-111384: A=161.24],
[120962-131128: A=26.56],
[162319-224474: A=111.40],
[159369-160281: A=119.00],
[199670-262282: A=77.76],
[123491-131971: A=229.61],
[174647-177457: A=64.31],
[122342-128791: A=99.80],
[144210-167650: A=48.80],
[191838-221438: A=211.08],
[129068-143678: A=228.01],
[132731-142562: A=209.86],
[161464-173903: A=174.83],
[152244-156292: A=20.34],
[145878-169810: A=203.11],
[152222-175143: A=73.69],
[178112-239881: A=4.29],
[196343-198427: A=162.06],
[160389-198501: A=113.34],
[116092-120249: A=223.65],
[181679-245411: A=69.05],
[106427-108200: A=183.15],
[143042-164112: A=74.67],
[143702-163702: A=107.04],
[180596-258913: A=162.93],
[171524-194058: A=18.79],
[161172-166636: A=153.47],
[142378-151905: A=24.99],
[145649-153099: A=79.47],
[137813-157745: A=167.17],
[118880-125372: A=202.93],
[132748-140398: A=2.48],
[192750-198321: A=167.31],
[141236-158682: A=133.02],
[154503-160133: A=44.27],
[126105-145575: A=151.09],
[125031-130386: A=163.21],
[145964-191813: A=30.44],
[183236-246196: A=138.13],
[170600-236726: A=95.00],
[155389-175808: A=132.43],
[169984-224734: A=85.04],
[152415-193768: A=219.22],
[116721-125943: A=189.29],
[188293-189568: A=236.41],
[105703-111141: A=117.65],
[131274-134546: A=115.60],
[144762-157799: A=4.98],
[137463-142215: A=204.14],
[102469-103430: A=19.56],
[116232-122053: A=187.92],
[150272-168184: A=45.43],
[150413-171742: A=50.81],
[195581-270785: A=2.23],
[191490-218411: A=68.55],
[114992-128970: A=45.85],
[133811-141869: A=177.42],
[120273-137645: A=7.05],
[185390-240294: A=70.27],
[113306-118755: A=66.62],
[138354-171639: A=12.41],
[141062-158433: A=163.22],
[102202-104352: A=57.27],
[175781-224380: A=26.30],
[148640-151499: A=87.44],
[114678-123595: A=209.94],
[196517-262269: A=32.04],
[159946-200365: A=145.99],
[114605-116214: A=29.26],
[117626-129652: A=14.33],
[155322-157681: A=34.55],
[101002-101720: A=115.79],
[153131-167148: A=58.09],
[138773-175767: A=22.97],
[103967-106529: A=237.37],
[119266-129610: A=227.79],
[100146-100164: A=79.41],
[105359-105824: A=88.29],
[104860-109645: A=218.39],
[184018-254717: A=40.30],
[176400-247878: A=135.05],
[129560-138625: A=239.01],
[167979-214676: A=205.35],
[120866-123410: A=12.76],
[115563-129179: A=134.85],
[198318-295423: A=51.06],
[161361-168602: A=135.77],
[122409-132114: A=136.10],
[174211-210210: A=192.64],
[137346-151268: A=24.07],
[181900-190285: A=170.73],
[139241-156804: A=115.21],
[186953-257257: A=194.77],
[186963-246659: A=149.70],
[147851-163235: A=224.57],
[177120-204483: A=88.77],
[190811-253695: A=217.65],
[159923-180848: A=115.65],
[126244-131613: A=50.43],
[132853-164842: A=75.08],
[177125-233160: A=237.51],
[197922-287403: A=244.22],
[108911-115818: A=229.25],
[185717-270248: A=49.84],
[145374-166672: A=181.37],
[100071-100125: A=25.45],
[164219-204255: A=123.03],
[117103-129865: A=235.98],
[142686-155084: A=47.55],
[106004-108604: A=156.45],
[140660-165655: A=21.97],
[190853-211114: A=102.78],
[159849-212095: A=202.00],
[165475-218303: A=73.68],
[152491-188426: A=71.20],
[164557-194935: A=132.97],
[125152-143866: A=188.18],
[140757-174384: A=88.36],
[101411-102047: A=1.73],
[168401-205486: A=242.07],
[173652-189886: A=20.81],
[123099-124281: A=71.42],
[150197-189049: A=95.07],
[174526-246952: A=239.29],
[139582-142403: A=174.61],
[189051-255455: A=20.59],
[147677-160031: A=72.18],
[191605-253621: A=83.07],
[112927-121214: A=34.34],
[187054-219498: A=93.33],
[109951-111618: A=45.53],
[134700-151312: A=232.40],
[129036-157979: A=75.79],
[157954-196980: A=158.57],
[165602-218672: A=106.40],
[179468-228639: A=200.85],
[178365-178891: A=61.03],
[107991-114175: A=33.77],
[117644-129122: A=121.26],
[198348-215606: A=18.12],
[193726-261024: A=109.71],
[106474-111934: A=155.19],
[157330-195265: A=238.31],
[106017-106682: A=73.78],
[139044-157483: A=167.43],
[164872-215423: A=113.35],
[198973-201370: A=230.82],
[132215-150342: A=184.63],
[105087-108476: A=149.66],
[158942-178129: A=237.65],
[164281-169697: A=163.71],
[109520-116795: A=240.47],
[144193-156465: A=186.85],
[131420-137891: A=137.13],
[113682-116449: A=220.38],
[189922-206765: A=161.67],
[134093-142195: A=32.67],
[173593-203686: A=225.90],
[195404-225348: A=35.74],
[102702-103506: A=63.56],
[124423-133980: A=220.65],
[111057-120596: A=225.96],
[101495-102021: A=172.83],
[181680-189608: A=112.98],
[130369-157713: A=68.74],
[187548-273881: A=43.30],
[116855-124742: A=2.01],
[190790-227217: A=96.36],
[152237-201110: A=35.50],
[138099-148482: A=135.97],
[185126-226189: A=120.24],
[174762-245442: A=190.70],
[174579-206761: A=199.42],
[193136-276013: A=25.89],
[159646-160987: A=117.23],
[196836-210708: A=114.01],
[192548-242202: A=33.56],
[173509-207590: A=33.36],
[165121-181921: A=60.25],
[123493-138058: A=186.09],
[166369-169858: A=205.39],
[152773-197525: A=142.23],
[192692-248091: A=29.19],
[119161-130229: A=21.73],
[137258-170003: A=160.33],
[170709-201361: A=40.92],
[172185-223296: A=15.25],
[103706-105723: A=56.52],
[155045-164347: A=177.33],
[117189-122871: A=112.67],
[122921-137423: A=99.10],
[186017-265173: A=113.93],
[112619-121807: A=22.96],
[167861-192944: A=227.75],
[132663-144179: A=92.36],
[133009-156944: A=248.40],
[112707-121399: A=122.89],
[194885-284139: A=143.51],
[140732-144425: A=87.01],
[132213-135472: A=47.60],
[199029-269855: A=41.20],
[193517-228927: A=149.52],
[124486-132296: A=217.27],
[196014-255650: A=198.10],
[108570-115066: A=88.23],
[139610-160134: A=27.53],
[132659-144157: A=125.38],
[195191-280833: A=221.17],
[183798-203195: A=39.99],
[120780-126309: A=215.00],
[195433-243762: A=16.67],
[184253-211992: A=124.10],
[159161-216475: A=157.25],
[164260-214410: A=40.69],
[185961-208672: A=245.22],
[150936-160917: A=203.86],
[164154-225891: A=171.66],
[146801-185723: A=75.64],
[189539-202622: A=28.41],
[180954-212485: A=150.43],
[115420-116761: A=74.02],
[168332-233189: A=45.15],
[134837-164511: A=64.68],
[115677-130151: A=198.36],
[158430-170391: A=177.57],
[119011-130239: A=40.12],
[125501-145909: A=242.12],
[112891-115314: A=25.92],
[100190-100260: A=150.30],
[108712-108996: A=30.22],
[102118-104149: A=189.02],
[143503-171640: A=97.98],
[171166-213640: A=68.76],
[194287-222499: A=104.06],
[186937-203337: A=87.65],
[107192-107665: A=37.94],
[190861-245031: A=237.33],
[189674-273786: A=128.54],
[163445-215974: A=212.81],
[198288-209940: A=1.42],
[135152-147666: A=106.12],
[106697-111260: A=111.36],
[140920-151741: A=80.03],
[102247-103297: A=244.89],
[181972-261077: A=238.38],
[141531-165742: A=89.32],
[194215-238370: A=35.39],
[198785-222354: A=69.36],
[134363-136247: A=235.31],
[116289-126707: A=205.41],
[190970-234329: A=243.99],
[191846-220476: A=43.16],
[115279-126948: A=242.12],
[181923-182770: A=122.97],
[135432-166035: A=246.39],
[119758-124907: A=104.02],
[159522-203237: A=200.21],
[125114-148458: A=132.61],
[127332-138259: A=155.52],
[128798-156535: A=187.37],
[191295-205164: A=191.61],
[199439-219893: A=222.88],
[168903-219353: A=10.32],
[166427-175990: A=110.80],
[196564-213076: A=161.58],
[174526-226638: A=42.30],
[147308-180300: A=110.97],
[101503-101769: A=151.22],
[144013-170235: A=115.78],
[150096-150528: A=196.93],
[198953-213136: A=46.47],
[198359-295696: A=39.21],
[186342-187030: A=34.87],
[167866-229592: A=176.65],
[166048-209842: A=202.71],
[183873-189731: A=167.16],
[156838-187798: A=134.24],
[100615-100898: A=106.33],
[131229-155184: A=206.65],
[157430-183260: A=20.91],
[133296-150907: A=86.82],
[120730-122897: A=191.73],
[191616-265726: A=34.05],
[163184-225055: A=138.58],
[190735-263855: A=174.45],
[116990-119105: A=126.15],
[149366-167559: A=170.15],
[134683-146750: A=204.52],
[157422-181419: A=198.70],
[179927-225618: A=138.03],
[102225-103532: A=169.50],
[141057-143920: A=66.79],
[140564-162802: A=165.28],
[157186-210109: A=10.18],
[143139-151185: A=226.78],
[196798-200443: A=38.50],
[163847-223220: A=223.31],
[153130-200483: A=48.65],
[141966-182293: A=153.88],
[123263-125129: A=172.85],
[125462-148956: A=37.66],
[143503-166435: A=221.30],
[181865-232778: A=77.06],
[168456-213328: A=158.43],
[187963-275826: A=80.20],
[167137-176315: A=157.81],
[181327-239831: A=74.30],
[182622-221209: A=167.74],
[155023-155023: A=208.97],
[169377-175317: A=46.09],
[159712-217458: A=114.70],
[152393-203142: A=108.82],
[181796-216243: A=36.63],
[181140-226965: A=171.93],
[183444-223373: A=51.56],
[155362-200040: A=169.87],
[174150-210110: A=213.77],
[119313-133686: A=241.02],
[121799-135956: A=249.52],
[151862-158792: A=116.45],
[113920-123837: A=36.57],
[173667-237154: A=164.28],
[136858-164443: A=238.75],
[142322-172521: A=140.46],
[173003-221852: A=94.60],
[162721-183964: A=156.51],
[171267-214289: A=93.70],
[143632-165927: A=241.17],
[155937-206311: A=160.15],
[166422-200141: A=180.53],
[151869-195216: A=152.13],
[142379-168951: A=53.40],
[136414-154494: A=235.08],
[135934-165628: A=57.04],
[194521-262661: A=119.21],
[184231-196141: A=193.13],
[159938-183302: A=157.59],
[118556-123549: A=105.02],
[113782-117923: A=163.73],
[136404-169236: A=106.86],
[101291-101880: A=29.85],
[142314-144341: A=179.49],
[176407-228821: A=79.07],
[132400-147821: A=69.70],
[174705-223561: A=216.75],
[173689-213374: A=126.92],
[167957-173246: A=126.46],
[122301-124080: A=242.08],
[166717-174775: A=178.03],
[128520-142145: A=111.08],
[178351-182920: A=43.27],
[180575-206883: A=141.71],
[139124-169703: A=86.54],
[102887-105460: A=236.43],
[175393-245216: A=178.88],
[189432-203614: A=138.61],
[117142-117916: A=59.01],
[170827-176001: A=56.80],
[102145-102241: A=114.45],
[160233-172543: A=22.11],
[105634-106719: A=157.43],
[177338-203629: A=202.67],
[183344-210557: A=24.73],
[192829-209923: A=20.44],
[165596-231004: A=64.27],
[120785-121602: A=186.35],
[116156-127854: A=155.74],
[116666-132356: A=68.53],
[136500-150451: A=103.80],
[110761-112782: A=123.66],
[103228-104011: A=132.77],
[153544-196775: A=152.27],
[177572-233132: A=51.63],
[181236-217467: A=230.04],
[161338-212968: A=126.82],
[187492-218811: A=65.59],
[154640-198781: A=210.90],
[168244-181914: A=207.65],
[169755-209115: A=129.80],
[103304-106194: A=227.43],
[175217-196386: A=72.37],
[106253-108601: A=217.90],
[172517-183625: A=110.27],
[130068-138117: A=212.26],
[149662-181641: A=13.63],
[109799-114453: A=83.46],
[150721-184688: A=11.51],
[181699-208305: A=215.93],
[156918-167257: A=65.69],
[113040-125882: A=226.08],
[191371-216584: A=219.14],
[141163-147581: A=132.23],
[174106-208042: A=127.41],
[145151-174585: A=173.37],
[102788-105519: A=90.67],
[123723-142436: A=126.91],
[162587-197929: A=7.33],
[111740-115180: A=1.57],
[120277-129488: A=137.91],
[108663-116515: A=17.23],
[196568-226272: A=137.98],
[134845-160292: A=192.79],
[171109-226448: A=18.63],
[156662-181043: A=214.84],
[177391-221712: A=90.02],
[166471-170157: A=207.15],
[134775-141498: A=151.34],
[103462-105945: A=22.88],
[139580-163945: A=135.88],
[124144-138779: A=89.93],
[101739-102850: A=242.84],
[196088-279935: A=11.64],
[159329-175076: A=40.19],
[178499-227977: A=132.94],
[121336-126227: A=76.98],
[167687-233087: A=243.75],
[162394-170634: A=155.56],
[111064-115217: A=118.05],
[199173-226267: A=125.95],
[137219-162452: A=228.55],
[149869-196555: A=86.13],
[150519-168408: A=142.50],
[173462-209105: A=231.68],
[186262-193608: A=205.62],
[111017-114187: A=183.90],
[177756-205578: A=151.41],
[169391-238125: A=9.08],
[181073-260488: A=73.90],
[126774-131993: A=37.34],
[153257-195870: A=82.59],
[193819-229408: A=184.19],
[198101-248150: A=215.94],
[130362-147130: A=32.58],
[195002-224846: A=58.96],
[153976-198858: A=132.03],
[184281-262803: A=111.57],
[128598-149728: A=174.76],
[136520-150506: A=193.70],
[105102-106749: A=171.19],
[132048-162063: A=132.91],
[185614-206915: A=229.36],
[137273-159683: A=204.66],
[131925-149397: A=55.78],
[177140-229589: A=6.37],
[140885-157706: A=75.83],
[123082-128050: A=101.24],
[149698-151908: A=35.09],
[182660-214738: A=38.35],
[195511-197375: A=180.32],
[100697-100816: A=202.64],
[170048-178935: A=117.00],
[127498-139613: A=185.76],
[145162-166997: A=164.14],
[120985-128433: A=220.37],
[175905-201031: A=202.03],
[137423-151388: A=200.24],
[133508-157678: A=155.66],
[140701-175415: A=239.71],
[195034-263620: A=70.13],
[170100-211669: A=181.85],
[168795-196280: A=104.55],
[140042-158729: A=243.08],
[119220-123628: A=171.98],
[119807-124912: A=72.24],
[117253-118915: A=95.07],
[170621-208545: A=151.26],
[118169-119281: A=106.60],
[142658-156406: A=80.71],
[190653-273761: A=151.04],
[147199-151337: A=6.61],
[175411-232487: A=122.19],
[194849-260790: A=179.32],
[184243-205924: A=188.09],
[100441-100556: A=130.47],
[165203-167847: A=238.30],
[158087-194591: A=167.87],
[172907-190056: A=211.31],
[162000-193887: A=126.77],
[127482-129606: A=35.31],
[182075-224913: A=78.75],
[142050-153253: A=45.49],
[156949-173354: A=141.67],
[122466-144775: A=64.08],
[179427-226283: A=182.99],
[170989-203801: A=187.97],
[143707-151635: A=27.33],
[156845-189957: A=61.68],
[177721-205284: A=198.86],
[110600-117257: A=55.95],
[184041-266309: A=154.34],
[187639-193428: A=100.57],
[121598-130843: A=103.47],
[192513-270837: A=153.21],
[146239-150063: A=206.78],
[137165-173728: A=117.72],
[121579-135228: A=84.79],
[142151-173143: A=52.87],
[101639-103124: A=22.40],
[109388-116553: A=30.01],
[154902-155172: A=186.03],
[135102-155522: A=78.38],
[143990-166629: A=42.54],
[151248-184331: A=153.62],
[169763-225726: A=122.77],
[143731-161867: A=208.28],
[137885-153064: A=224.66],
[151639-152866: A=33.10],
[157526-176282: A=73.74],
[117097-117614: A=41.86],
[128163-149374: A=129.55],
[101283-101402: A=197.84],
[158654-211702: A=203.42],
[120865-121907: A=248.96],
[108873-112164: A=71.13],
[197770-247886: A=102.50],
[122722-132093: A=27.46],
[144726-163186: A=147.28],
[129519-141026: A=176.91],
[157132-166789: A=102.47],
[149003-173666: A=158.49],
[147247-190173: A=217.50],
[172966-212616: A=54.42],
[173231-186334: A=0.95],
[161238-183136: A=21.71],
[135590-161855: A=143.57],
[178935-186245: A=1.60],
[146462-189107: A=193.80],
[120717-132577: A=62.60],
[104017-106524: A=4.52],
[158075-198791: A=44.09],
[143492-182428: A=176.75],
[100895-101677: A=222.96],
[125676-144764: A=73.64],
[147094-158802: A=46.13],
[150709-183749: A=65.46],
[112406-122451: A=99.75],
[104778-106224: A=188.44],
[174767-240076: A=18.76],
[169125-181259: A=21.75],
[153566-179027: A=129.23],
[181318-247854: A=146.20],
[124879-126695: A=164.68],
[106743-109914: A=125.61],
[112768-115318: A=229.93],
[198444-252657: A=209.77],
[196951-258790: A=222.16],
[114580-121922: A=109.02],
[161072-175889: A=158.24],
[103483-104617: A=36.65],
[185572-238376: A=91.11],
[170708-208262: A=232.60],
[124385-136322: A=30.74],
[104102-107383: A=205.22],
[180543-194734: A=3.28],
[167519-225598: A=160.61],
[166132-189371: A=118.88],
[116203-127831: A=213.46],
[145314-185182: A=62.60],
[142969-174986: A=63.52],
[171803-220687: A=6.97],
[134399-151778: A=3.09],
[171494-206335: A=55.87],
[109349-111709: A=244.31],
[141424-164911: A=116.95],
[184173-265144: A=22.73],
[111656-116029: A=229.59],
[123400-140924: A=212.19],
[181100-214527: A=110.67],
[171175-182099: A=54.48],
[136995-159132: A=110.58],
[186536-199383: A=246.23],
[114637-118021: A=246.30],
[163545-186080: A=243.93],
[168194-220532: A=138.70],
[131220-153996: A=47.78],
[133670-146495: A=194.84],
[140865-172063: A=49.24],
[143953-154054: A=56.19],
[185681-218913: A=135.52],
[134422-163914: A=102.24],
[198918-224265: A=78.55],
[154899-191114: A=138.36],
[138150-159533: A=129.04],
[122494-127838: A=131.84],
[118344-125050: A=246.18],
[196803-246767: A=75.88],
[197385-276142: A=206.47],
[198506-235107: A=168.40],
[195229-218206: A=210.82],
[105445-107220: A=70.26],
[148603-179775: A=8.72],
[114331-122997: A=128.97],
[164205-194157: A=27.65],
[165615-223151: A=72.43],
[166651-195516: A=132.83],
[178645-228514: A=174.04],
[139368-147320: A=198.43],
[106167-106696: A=35.49],
[112524-122556: A=116.92],
[157423-194265: A=23.73],
[127271-133917: A=136.04],
[162307-166703: A=193.99],
[177684-242746: A=232.49],
[196942-244004: A=90.98],
[176094-221025: A=137.87],
[168916-225299: A=183.05],
[127138-142884: A=12.80],
[172024-218461: A=204.30],
[170124-204726: A=146.51],
[176472-189890: A=123.84],
[139266-167644: A=59.22],
[146350-167437: A=181.45],
[194202-239215: A=88.09],
[161551-165201: A=126.55],
[188143-190152: A=163.32],
[163310-171581: A=161.30],
[110660-112853: A=37.34],
[160296-187300: A=23.86],
[117443-118756: A=130.71],
[165609-186764: A=34.68],
[102891-104316: A=198.27],
[169040-228266: A=19.55],
[166107-212911: A=130.53],
[100027-100035: A=50.23],
[154367-155263: A=241.54],
[133488-155664: A=155.47],
[148115-176236: A=228.56],
[116797-129856: A=127.86],
[137461-162090: A=64.65],
[127636-148711: A=59.15],
[153611-167959: A=113.66],
[132117-147235: A=108.27],
[159292-178104: A=70.28],
[134032-164914: A=122.39],
[132872-157242: A=24.35],
[129723-139373: A=146.52],
[172088-206875: A=42.11],
[116074-117726: A=101.23],
[137978-152791: A=16.51],
[128510-137765: A=100.66],
[122366-134963: A=54.54],
[179065-193815: A=141.86],
[181412-232181: A=242.73],
[108329-109973: A=152.12],
[197929-278854: A=156.95],
[118949-134106: A=178.67],
[172294-244085: A=99.08],
[165436-200690: A=111.44],
[126570-146946: A=54.67],
[181838-236237: A=20.60],
[129690-133261: A=65.63],
[164553-225326: A=58.01],
[136276-148644: A=92.28],
[148698-189930: A=134.85],
[104148-106505: A=36.15],
[164572-192131: A=169.09],
[142897-162262: A=125.06],
[183353-232367: A=43.53],
[118454-123090: A=244.43],
[115334-120363: A=2.68],
[199723-205138: A=59.38],
[176378-231364: A=229.62],
[162181-177947: A=151.97],
[121014-141859: A=79.46],
[109124-110638: A=61.52],
[118500-133707: A=63.83],
[189790-273685: A=102.79],
[125144-127475: A=19.29],
[146593-163422: A=79.63],
[133927-147586: A=0.40],
[147347-170568: A=25.14],
[104208-106219: A=46.30],
[138004-141836: A=85.13],
[106447-110245: A=30.01],
[167441-215309: A=138.75],
[158099-201203: A=142.84],
[157351-159664: A=21.06],
[189571-195757: A=165.81],
[163299-165954: A=187.85],
[148139-166113: A=144.82],
[104853-107614: A=215.26],
[131317-145242: A=148.19],
[116127-123077: A=100.71],
[153520-188504: A=126.03],
[182381-261105: A=218.78],
[159486-199208: A=167.66],
[168253-186441: A=126.20],
[162151-180908: A=226.48],
[138597-141149: A=121.29],
[150099-158781: A=211.85],
[191454-260065: A=80.22],
[128034-155590: A=178.04],
[124256-143959: A=117.68],
[154384-161212: A=204.81],
[125065-135233: A=174.29],
[145278-190247: A=203.71],
[170675-235596: A=44.04],
[182829-224884: A=205.65],
[170107-182114: A=17.08],
[122096-141869: A=71.65],
[151214-168849: A=196.64],
[177637-196721: A=87.76],
[175654-231921: A=217.40],
[193862-226583: A=46.89],
[165878-196395: A=196.91],
[106779-108581: A=195.74],
[126109-134182: A=42.71],
[140874-146916: A=152.60],
[191970-218346: A=25.18],
[113442-124656: A=63.15],
[121925-138368: A=199.15],
[147477-171259: A=34.67],
[117146-132258: A=227.74],
[163922-184727: A=102.58],
[146692-155861: A=150.61],
[112746-119316: A=76.14],
[183800-241393: A=169.80],
[180671-209547: A=42.44],
[117237-125742: A=174.17],
[166834-226891: A=169.50],
[186086-210529: A=222.21],
[163483-172245: A=140.59],
[102448-103179: A=176.42],
[143677-150758: A=246.70],
[196390-202685: A=7.63],
[183695-216673: A=121.84],
[143188-153662: A=146.09],
[148800-173896: A=103.39],
[160878-202325: A=90.15],
[177326-203871: A=194.00],
[121228-139899: A=83.06],
[114145-127457: A=236.24],
[109082-116847: A=179.15],
[145441-173984: A=157.17],
[190357-269738: A=173.25],
[187348-271386: A=150.56],
[150193-190011: A=179.04],
[128120-143108: A=161.86],
[186084-226005: A=68.41],
[126667-143755: A=136.02],
[161557-203927: A=148.35],
[141686-172047: A=222.59],
[187484-205254: A=60.90],
[102435-103172: A=73.55],
[100162-100169: A=152.74],
[121822-128883: A=247.90],
[186055-211169: A=222.03],
[147758-183188: A=16.24],
[109116-112461: A=80.71],
[166928-228496: A=155.41],
[117623-129319: A=108.60],
[127019-144276: A=226.76],
[143531-153885: A=17.22],
[167762-228975: A=33.31],
[172888-231340: A=197.79],
[175961-234594: A=242.42],
[158068-196165: A=18.77],
[197318-271929: A=58.80],
[191423-205399: A=39.70],
[126423-134485: A=3.46],
[127102-135818: A=191.63],
[117195-131782: A=78.45],
[160281-163630: A=235.27],
[182686-193420: A=105.75],
[189759-235512: A=191.89],
[119835-124619: A=167.27],
[177785-220054: A=66.00],
[141397-142115: A=130.48],
[151240-172115: A=87.65],
[178470-197927: A=104.29],
[109589-110108: A=233.68],
[141561-164335: A=243.92],
[132744-144271: A=6.81],
[111557-116604: A=218.44],
[146150-178505: A=8.44],
[160946-203597: A=205.33],
[144478-155996: A=55.15],
[167542-194658: A=35.15],
[155387-168266: A=184.11],
[142429-182106: A=89.41],
[140872-179083: A=167.07],
[163389-191624: A=97.68],
[107876-113923: A=90.48],
[195139-240331: A=123.36],
[103101-105295: A=178.28],
[116434-122997: A=108.83],
[130968-155642: A=106.78],
[169472-219091: A=139.43],
[152402-165937: A=171.88],
[186736-213371: A=115.12],
[143486-151957: A=189.75],
[139085-174994: A=203.20],
[104009-104214: A=151.83],
[130167-138241: A=70.23],
[192357-225269: A=53.72],
[158666-210322: A=121.03],
[147089-170715: A=137.42],
[123703-139407: A=125.11],
[185196-251749: A=34.03],
[195260-248356: A=236.23],
[145588-165089: A=101.80],
[123479-124893: A=113.66],
[102998-104503: A=32.09],
[131082-135143: A=234.19],
[162054-218161: A=14.65],
[190964-268791: A=239.75],
[144685-168284: A=202.89],
[169521-235323: A=99.61],
[138638-173968: A=93.06],
[127740-151122: A=167.83],
[136393-137375: A=99.99],
[159494-178244: A=177.11],
[104369-106318: A=40.22],
[162769-222849: A=27.77],
[173204-190031: A=246.27],
[151977-171202: A=45.96],
[177451-234355: A=96.60],
[124341-128013: A=79.56],
[103395-104628: A=227.88],
[114889-126538: A=246.44],
[173233-236473: A=24.28],
[175038-214060: A=234.99],
[114067-123923: A=175.06],
[153402-186521: A=216.41],
[199585-234097: A=32.64],
[141008-154400: A=133.36],
[176041-210921: A=63.35],
[172860-241512: A=17.39],
[188422-218062: A=39.75],
[180113-244558: A=245.86],
[117812-118929: A=140.49],
[166522-182997: A=57.17],
[192877-264935: A=115.83],
[174827-206754: A=177.81],
[194181-275949: A=21.77],
[153412-204334: A=44.76],
[155932-193631: A=213.98],
[105733-106469: A=107.21],
[149989-168963: A=210.83],
[155241-175620: A=168.99],
[180560-254579: A=195.63],
[195325-281197: A=75.13],
[141772-166837: A=68.64],
[101368-102360: A=184.38],
[107814-110985: A=5.38],
[115399-117213: A=155.30],
[171530-217138: A=163.24],
[178866-250246: A=90.83],
[141334-146083: A=33.89],
[143483-151767: A=6.83],
[159679-189540: A=66.69],
[122028-130482: A=41.75],
[143439-167031: A=5.19],
[124980-139389: A=166.59],
[187869-221546: A=112.52],
[112799-114628: A=62.08],
[193983-271720: A=68.86],
[180009-251159: A=127.99],
[111475-121460: A=168.90],
[186900-204604: A=139.51],
[143048-172294: A=150.43],
[161088-197607: A=152.96],
[102671-102866: A=129.87],
[164172-192700: A=219.53],
[195905-255362: A=88.65],
[103228-105203: A=142.07],
[111866-114876: A=40.45],
[185042-220282: A=187.93],
[110800-114510: A=117.45],
[149064-165810: A=246.68],
[100047-100058: A=175.34],
[173936-232139: A=179.64],
[135412-149030: A=100.21],
[170098-195137: A=214.62],
[108911-116329: A=11.98],
[141206-169969: A=92.52],
[199083-244753: A=46.68],
[104926-105085: A=239.14],
[116432-125538: A=21.73],
[178840-225442: A=71.32],
[143594-147582: A=196.39],
[160381-169861: A=63.85],
[189639-197943: A=47.55],
[197434-245281: A=172.85],
[167834-216342: A=104.12],
[119156-125705: A=203.35],
[142232-164919: A=4.41],
[138611-160576: A=129.19],
[141628-145079: A=153.92],
[178828-218652: A=119.47],
[154691-205544: A=113.56],
[190192-210653: A=19.90],
[178660-253466: A=88.87],
[158883-211347: A=76.89],
[190611-280186: A=202.26],
[193850-244146: A=52.93],
[198362-227340: A=176.44],
[138827-167390: A=12.60],
[112670-114860: A=107.15],
[144097-159100: A=31.55],
[138266-159959: A=23.21],
[136960-145025: A=12.65],
[155812-169091: A=249.48],
[194748-195554: A=168.27],
[199696-271159: A=4.23],
[182297-263370: A=40.36],
[156339-205737: A=134.81],
[197867-204151: A=120.63],
[182637-228843: A=216.16],
[147112-178508: A=194.67],
[187797-198272: A=65.98],
[176606-197049: A=141.69],
[146178-161962: A=140.83],
[184649-193191: A=194.13],
[120667-134123: A=20.61],
[184158-188405: A=221.64],
[123586-135654: A=65.23],
